Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2019-11-02,S6F4ZNZG14,52vo7F7CLd,eMdr2bTvAo,Close-Grip Bench Press,5,52.16318458509857,fake_id_576
2020-07-27,Peyf4Mb8hb,mnwUcsbS9T,ubj8uwtfae,Barbell Bench Press,6,65.77097186816776,fake_id_560
2019-12-10,6Xz4kyRDAE,52vo7F7CLd,hLFCleWYIs,Close-Grip Bench Press,4,47.62725549074217,fake_id_504
2019-09-30,TEuXax1keE,mnwUcsbS9T,ESCnyhb9QC,Barbell Bench Press,10,47.62725549074217,fake_id_564
2019-09-24,nj5Bf0Ax8P,bOhZg3HbGM,FdVvqmB6bk,Dumbbell Bent Over Row,12,17.00973410383649,fake_id_520
2019-09-07,GzWfg1tKlk,52vo7F7CLd,GmIJwUS8TR,Close-Grip Bench Press,8,60.0,fake_id_514
2019-11-06,LkoRFe3d7K,52vo7F7CLd,wWFz03GSai,Close-Grip Bench Press,8,50.0,fake_id_529
2019-11-14,jtCnLC5XuO,mnwUcsbS9T,MejNmeUlKX,Barbell Bench Press,5,110.0,fake_id_596
2019-10-12,HVYpwtfwFu,mnwUcsbS9T,LwBdtsRQDo,Barbell Bench Press,5,60.0,fake_id_529
2019-12-07,Wt9RWZLUAc,mnwUcsbS9T,VrmUhkCQeD,Barbell Bench Press,5,110.0,fake_id_596
2020-01-20,3Cz9Sqe8D3,6REm9Tfqpa,XzAAzOGpdb,Dumbbell Row,13,29.483539113316585,fake_id_524
2020-06-10,GAJNPNZpZr,dXqYJgUYO6,6HFy9jmf6i,Deadlift,4,124.73805009480093,fake_id_586
2019-12-30,wNlTbpWGMc,dXqYJgUYO6,QfBGn25vtG,Deadlift,10,56.69911367945497,fake_id_542
2020-02-06,ItArCzLhRY,dXqYJgUYO6,HXUR3EQNa4,Deadlift,3,83.91468824559335,fake_id_559
2019-11-29,QMudRnCOB8,mnwUcsbS9T,CTvyKxbIaY,Barbell Bench Press,7,60.0,fake_id_529
2020-02-13,pRUkMbsvCv,mvkMgAdecH,OVsCIXZway,Dumbbell Shoulder Press,12,22.67964547178199,fake_id_509
2020-03-03,Xk4W7HwPTA,h85ZOw37Wc,anheIanpa6,Dumbbell Bench Press,8,11.339822735890994,fake_id_544
2019-10-04,IYLufort4w,G1mxtZtEs5,DV0lXZdBY4,Back Squat,5,102.05840462301894,fake_id_617
2020-06-12,cYSxB8GUAg,h85ZOw37Wc,o3dxHRCUE8,Dumbbell Bench Press,12,36.28743275485118,fake_id_562
2020-01-13,fpuXPwFdkv,mvkMgAdecH,sbDb0CKTk8,Dumbbell Shoulder Press,20,9.071858188712795,fake_id_612
2019-08-27,qGyRYY4mRr,52vo7F7CLd,DgiNuR6QLb,Close-Grip Bench Press,12,22.67964547178199,fake_id_544
2019-12-27,vOhHDhaY7P,mvkMgAdecH,LANuKSg6Ve,Dumbbell Shoulder Press,3,13.607787283069193,fake_id_537
2020-02-19,mqIROQbNtm,h85ZOw37Wc,WAxvuK6qpy,Dumbbell Bench Press,8,36.28743275485118,fake_id_516
2019-11-25,lGJT8CKb8q,6REm9Tfqpa,goQYLWPjHo,Dumbbell Row,6,20.41168092460379,fake_id_588
2020-06-03,PxzG8AFXz7,h85ZOw37Wc,OE1Glvjuvz,Dumbbell Bench Press,6,22.67964547178199,fake_id_587
2020-06-17,KhtUtspxXP,mnwUcsbS9T,kPb6OUE1pu,Barbell Bench Press,7,81.64672369841516,fake_id_562
2020-02-22,ecaBEm4Zd8,52vo7F7CLd,ULMdfB53bH,Close-Grip Bench Press,7,60.0,fake_id_514
2019-12-18,QddlFcFZyy,h85ZOw37Wc,U2Jo5v2ROL,Dumbbell Bench Press,6,18.0,fake_id_529
2019-09-28,k0J8AMiFLu,mnwUcsbS9T,8TtfCHl0c4,Barbell Bench Press,6,74.84283005688056,fake_id_532
2020-03-06,u557WrFPNE,52vo7F7CLd,j3mBiEZ0xX,Close-Grip Bench Press,12,61.235042773811365,fake_id_500
2019-08-17,seVIg9fcSo,h85ZOw37Wc,f8X0cyFHzk,Dumbbell Bench Press,15,16.0,fake_id_526
2019-10-05,jOpV8aJca7,h85ZOw37Wc,IAkrU5ntaz,Dumbbell Bench Press,8,29.483539113316585,fake_id_587
2019-10-10,DSNUuSj53c,52vo7F7CLd,wdTo9y2SZO,Close-Grip Bench Press,13,43.091326396385774,fake_id_532
2019-11-23,e9PUMEOFZg,G1mxtZtEs5,Ujy5do73zZ,Back Squat,5,77.11079460405875,fake_id_513
2019-09-10,F8LvRPWoET,6REm9Tfqpa,qxWhNBU0nz,Dumbbell Row,10,22.67964547178199,fake_id_551
2019-12-17,mtMyyJHdcv,G1mxtZtEs5,VNQSLsBSAp,Back Squat,10,83.91468824559335,fake_id_586
2019-10-21,L9b0qrfh6E,mnwUcsbS9T,HsP1U3NwuC,Barbell Bench Press,7,77.11079460405875,fake_id_548
2020-01-17,UNv7WMMwbH,ZAIuKpHvue,oK0P6ZyXgi,Dumbbell Lunge,8,15.87575183024739,fake_id_548
2019-10-25,ayL8sIFQHv,6REm9Tfqpa,BL3ujUtxG0,Dumbbell Row,4,13.607787283069193,fake_id_506
2020-01-28,Z6uZ6JHvJL,bOhZg3HbGM,2S4D6HoxuD,Dumbbell Bent Over Row,8,27.215574566138386,fake_id_502
2019-08-20,NBCy6CUCCE,52vo7F7CLd,xmbJShnTuJ,Close-Grip Bench Press,8,49.895220037920375,fake_id_504
2019-08-29,ffYpHuA509,mnwUcsbS9T,ENxvVQIVRJ,Barbell Bench Press,10,60.0,fake_id_596
2020-03-07,EBmIUusSJa,bOhZg3HbGM,7Ek8T3i77L,Dumbbell Bent Over Row,10,13.607787283069193,fake_id_556
2019-09-23,FgdeltGpqJ,h85ZOw37Wc,linjlsjvCT,Dumbbell Bench Press,15,15.87575183024739,fake_id_508
2020-03-30,6Zq7DOS5r2,bOhZg3HbGM,dhDq11M2Dg,Dumbbell Bent Over Row,15,6.350300732098956,fake_id_595
